year,coc_number,total_homeless,total_sheltered,total_unsheltered,total_population,house_price_index_2009,log_median_rent,utility_costs,percentage_owners_cost_burden_2016,percentage_renters_severe_cost_burden_2016,share_renters_2016,rental_vacancy_rate,high_housing_density,number_eviction,share_overcrowded_units_2016,city_or_urban,suburban,rate_unemployment,gini_coefficient_2016,poverty_rate,share_HUD_units,HUD_unit_occupancy_rate,share_built_before_1940,total_black,total_latino_hispanic,total_asian,total_pacific_islander,total_population_0_19,total_population_65_plus,total_female_population,net_migration,migration_4_year_change,proportion_one_person_households,share_under_18_with_single_parent,share_veteran_status,share_no_bachelors,medicare_reimbursements_per_enrollee,percentage_excessive_drinking,average_Jan_temperature,average_summer_temperature,total_Jan_precipitation,total_annual_precipitation,rate_homeless,rate_sheltered,rate_unsheltered,percent_black,percent_latino_hispanic,percent_asian,percent_pacific_islander,percent_population_0_19,percent_population_65_plus,percent_female_population,percent_Jan_precipitation,percent_annual_precipitation,log_homeless
2017,AK-500,1128.0,973.0,155.0,297376,11.7436473396041,2.43886280059814,8.5,15.3343152999878,21.0148162841797,39.7279205322266,4.81721210479736,0,0,4.11740589141846,1,0,5.55591201782227,42.0100021362305,7.09808444976807,3.45132637023926,99.0,0.366994917392731,16002,26754,27939,7252,80042,29482,145604,-3389,-0.849201798439026,25.0464401245117,23.379077911377,14.5351257324219,65.634147644043,8.75152,0.193316832184792,13.8000001907349,60.7999992370605,1.71000003814697,16.5,37.93177660604756,32.71952006886904,5.212256537178521,0.05381066394060045,0.0899669105778543,0.0939517647691811,0.024386635101689445,0.26916092757989885,0.0991404820832885,0.48962929086409124,5.7502960499400424e-06,5.5485311524803615e-05,3.635789193677121
2017,AK-501,717.0,578.0,139.0,444146,9.04271026306481,2.24969911575317,14.6077146530151,13.3116703033447,19.3645610809326,33.922233581543,7.00008964538574,0,0,9.29489803314209,0,0,7.93574953079224,40.6757011413574,11.4392566680908,1.84200477600098,99.0,2.23641037940979,8674,24751,17812,2040,123722,48814,207750,149,-0.466562390327454,25.6898784637451,19.7865581512451,14.1425180435181,75.5603790283203,9.97286992457435,0.218806326389313,13.8000001907349,60.7999992370605,1.71000003814697,16.5,16.143340252979876,13.013738725554209,3.1296015274256663,0.019529614135892253,0.05572717079518897,0.040103929788853215,0.0045930842560779565,0.27856155408356714,0.10990530140989675,0.4677515951961742,3.850085418188997e-06,3.7149946188865824e-05,2.7815075963849627
2017,AL-500,1092.0,875.0,217.0,958302,-0.852476571257,1.86224758625031,19.4923305511475,12.1884155273438,24.9629383087158,31.7696208953857,8.24999332427979,0,591,1.23592507839203,0,1,5.35658359527588,47.6335334777832,13.066967010498,4.52810955047607,95.0837097167969,7.19157886505127,317339,39140,15938,298,245718,142843,499924,14,-0.0006589146796613,29.4301300048828,32.0775985717773,9.14955806732178,65.9837112426758,9.3181631810327,0.166727036237717,50.9953460693359,80.8743133544922,6.66987609863281,38.593376159668,11.395155180725908,9.13073331788935,2.2644218628365587,0.3311471748989358,0.04084307452139305,0.016631500299488053,0.0003109666889978316,0.25640977478915833,0.14905843878025926,0.5216768826528589,6.960098276569192e-06,4.0272665777247674e-05,2.433188280922243
2017,AL-501,606.0,341.0,265.0,622361,-8.50700364834503,1.858393907547,18.8998394012451,12.5391321182251,27.2319202423096,32.109203338623,19.4248142242432,0,2260,1.71273577213287,1,0,6.22268533706665,46.713249206543,16.6091709136963,4.81906032562256,87.0008010864258,3.68171644210815,166050,21046,10511,238,158537,104013,323422,3520,0.208838671445847,28.982967376709,33.6681289672852,11.6479225158691,74.54345703125,8.70952230091538,0.165461212396622,57.8933601379395,81.9399490356445,12.2966661453247,58.5190124511719,9.737113990111848,5.479135100046436,4.257978890065412,0.26680656403598557,0.033816386309553456,0.016888911740934924,0.0003824147078624785,0.2547347921865284,0.16712647482731083,0.519669452295372,1.9758092401877206e-05,9.402744139040188e-05,2.2759447688308203
2017,AL-502,155.0,133.0,22.0,265264,0.751166709357832,1.36201024055481,18.803186416626,10.3746938705444,21.5884666442871,27.7082061767578,7.21840572357178,0,430,1.53998792171478,0,0,6.58960342407227,45.1655464172363,16.5759391784668,4.34119129180908,95.1786651611328,5.1500072479248,23966,11156,1300,125,62747,50588,136329,353,0.231821924448013,28.3292980194092,27.9593162536621,9.1350154876709,82.3326568603516,8.96719459677906,0.149407356977463,48.3821029663086,79.4299850463867,5.46299886703491,44.7786178588867,5.843235418300259,5.013872971831836,0.8293624464684239,0.0903477290548284,0.04205621569455335,0.00490077809276796,0.0004712286627661499,0.23654547922070088,0.19070812473611196,0.5139370589299717,2.0594573206446826e-05,0.00016880774571327695,1.7652846534161828
2017,AL-503,436.0,337.0,99.0,568051,-3.95539117410777,1.72603678703308,16.0252494812012,9.75128746032715,22.7770805358887,30.1196670532227,7.66778564453125,0,1065,1.54153943061829,1,0,5.23860883712769,46.2489356994629,13.5637464523315,2.90868330001831,93.3449249267578,3.12073969841003,113672,32270,11578,486,142081,84508,289011,3196,0.0176678895950317,29.5809020996094,26.4177322387695,12.4708290100098,64.9470138549805,9.31920846791925,0.154150247573853,48.5707588195801,80.2383804321289,6.11075925827026,46.1163902282715,7.6753671765387255,5.932565913976034,1.7428012625626923,0.20010879304851148,0.056808279538280895,0.020381972745404903,0.0008555569834398672,0.2501201476627979,0.14876833242085657,0.5087765007015215,1.0757413081343507e-05,8.1183538499662e-05,2.0380161329203013
2017,AL-504,377.0,314.0,63.0,383916,-9.36641415506037,1.81595718860626,20.5440845489502,13.1453723907471,28.1911373138428,35.2873382568359,6.15701293945313,0,2393,1.54163789749146,1,0,5.5419716835022,46.585376739502,16.829984664917,3.73982715606689,92.6790390014648,5.37810897827148,172776,12480,7849,196,99430,55406,199810,-842,0.419133126735687,29.7691402435303,38.4663505554199,11.7181072235107,71.9156723022461,8.63626435949531,0.15961766242981,54.0212821960449,82.377067565918,11.9149255752563,45.0500640869141,9.819856426926725,8.178872461684328,1.640983965242397,0.45003594536304814,0.03250711093051605,0.020444576417758053,0.000510528344742079,0.25898894549849444,0.14431802790193687,0.5204523906271163,3.103524097786052e-05,0.00011734354412661649,2.2844065017836006
2017,AL-505,163.0,103.0,60.0,314688,-6.69455121933841,1.4402779340744,18.732852935791,12.3917770385742,20.8745918273926,28.7751026153564,8.29626178741455,0,854,1.8678879737854,0,0,6.10459756851196,44.6315078735352,17.5780467987061,3.65228581428528,92.4656829833984,7.55602502822876,41769,18825,2118,186,77739,55618,161649,-296,0.190820083022118,27.2776012420654,29.8012962341309,10.9297456741333,83.9371032714844,9.84387941052725,0.147625833749771,49.5590400695801,80.2235412597656,6.98467779159546,37.0890808105469,5.179733577384583,3.2730831808013012,1.9066503965832824,0.1327314673581452,0.05982115619280049,0.0067304758999389876,0.0005910616229408176,0.247035158633313,0.17674013626194834,0.513680216595485,2.2195564468919882e-05,0.00011785985106056444,1.6447536220113337
2017,AL-506,200.0,137.0,63.0,206282,-0.422569360257697,1.80500471591949,17.6000003814697,12.762038230896,30.4221363067627,36.9775695800781,6.08100938796997,0,897,2.06700730323792,1,0,5.65644121170044,46.8600006103516,16.6684455871582,5.29609155654907,87.0,3.09134125709534,64949,7489,3111,77,53682,25800,106868,982,-0.0420873761177063,27.6433849334717,35.4822692871094,8.54334259033203,69.0326995849609,9.56617,0.188354909420013,51.9300003051758,81.1566696166992,7.01999998092651,41.0999984741211,9.695465430818006,6.641393820110334,3.054071610707672,0.3148553921330994,0.03630467030569803,0.01508129647763741,0.00037327541908649327,0.26023598762858613,0.1250715040575523,0.5180674998303294,3.4031083569708025e-05,0.00019924180720625698,2.2716582948468917
2017,AL-507,764.0,416.0,348.0,1483504,-5.5432415985246,1.45131528377533,19.256778717041,11.9380750656128,24.1373043060303,30.5825386047363,6.95794010162354,0,2402,1.98189043998718,0,0,6.32148599624634,47.1992301940918,20.1657695770264,3.74700284004211,97.2431411743164,5.61276292800903,361373,59848,14207,665,369477,256295,759289,-3364,-0.206352651119232,29.2033252716064,35.0276489257813,10.669750213623,82.5221557617188,9.08792771666271,0.14692011475563,52.2747383117676,80.8351593017578,9.41318225860596,44.3590316772461,5.149969261963567,2.804171744734089,2.345797517229478,0.24359422017062307,0.04034232465837639,0.009576650956114712,0.00044826303130965605,0.2490569624348839,0.17276326858572677,0.5118213365113946,6.3452355090420795e-06,2.9901524820456232e-05,1.6389907461070692
2017,AR-500,1006.0,456.0,550.0,591282,1.41861635604818,1.80548691749573,17.5251731872559,11.7880229949951,22.272762298584,35.9083023071289,11.9230556488037,0,0,1.9365645647049,1,0,3.41818404197693,45.7444686889648,14.6772603988647,4.17838668823242,89.8958358764648,3.96364593505859,157372,32703,10911,156,153527,88111,305443,100,-0.236632823944092,30.7517776489258,33.5851631164551,11.5672740936279,69.5464172363281,8.73811710718405,0.160276547074318,45.4426956176758,81.4383697509766,2.53456687927246,53.0499229431152,17.013878318636454,7.712056176240779,9.301822142395675,0.2661538825805622,0.05530863445868469,0.018453123890123494,0.0002638335007661319,0.2596510632828329,0.14901688196156826,0.5165775382981386,4.286561876181687e-06,8.972017234266424e-05,2.8340293826905993
